symptom,disease,doctor
"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue",flu,General Physician
"cough,mucus production,shortness of breath,chest pain",bronchitis,General Physician
"fever,cough,shortness of breath,chest pain,fatigue",pneumonia,General Physician
"chest pain,shortness of breath,nausea,vomiting,lightheadedness,sweating",heart attack,General Physician
"sudden weakness,numbness on one side of the body,confusion,difficulty speaking,trouble seeing in one eye,severe headache",stroke,General Physician
"lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge",cancer,Oncologist
"increased thirst,frequent urination,unexplained weight loss,fatigue,blurred vision,cuts that are slow to heal",diabetes,Endocrinologist
"memory loss,confusion,difficulty thinking,changes in personality or behavior",alzheimer's disease,Neurologist
"pain,stiffness,swelling,inflammation in the joints",arthritis,General Physician
"fever,sore throat,cough,conjunctivitis,rash,pink eye",adenovirus,General Physician
"vomiting,diarrhea,jaundice,liver damage,death",aflatoxicosis,General Physician
"physical dependence on alcohol,tolerance to alcohol,withdrawal symptoms,impaired judgment,memory problems,liver damage,heart disease,cancer",alcoholism,General Physician
"runny nose,sneezing,itchy eyes,itchy nose,throat,palate",allergic rhinitis,General Physician
"memory loss,confusion,difficulty thinking,changes in personality or behavior",alzheimer's disease,Neurologist
"fatigue,shortness of breath,pale skin,lightheadedness,dizziness",anemia,General Physician
"excessive worry,fear,anxiety that interfere with daily life",anxiety disorder,General Physician
"pain in the lower right abdomen,nausea,vomiting,fever",appendicitis,General Physician
"pain,stiffness,swelling,inflammation in the joints",arthritis,General Physician
"difficulty with social interaction,repetitive behaviors,restricted interests",asperger syndrome,General Physician
"wheezing,shortness of breath,coughing,chest tightness",asthma,Pulmonologist
"fever,headache,stiff neck,nausea,vomiting,sensitivity to light",bacterial meningitis,General Physician
"extreme mood swings,from manito depression",bipolar disorder,General Physician
"blood in the urine,pain or burning when urinating,frequent urination,urgency to urinate,incontinence",bladder cancer,General Physician
"pain,swelling,redness,warmth,tenderness in the affected area,shortness of breath,chest pain,difficulty breathing,coughing up blood",blood clot,General Physician
"cough,mucus production,shortness of breath,chest pain",bronchitis,General Physician
"pain,swelling,inflammation in bursa,which is small sac of fluid that cushions joints",bursitis,General Physician
"lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge",cancer,Oncologist
"abnormal pap test results,abnormal vaginal bleeding,pain during sex",cervical cancer,General Physician
"rash,fever,headache,muscle aches,fatigue",chickenpox,General Physician
"chronic bronchitis,emphysema",chronic obstructive pulmonary disease (copd),Pulmonologist
high levels of cholesterol in the blood,cholesterol,General Physician
"runny nose,sneezing,sore throat,cough,congestion",common cold,General Physician
"red,itchy,watery eyes",conjunctivitis,General Physician
"sadness,hopelessness,loss of interest in activities,changes in appetite,sleep,energy levels",depression ,Psychiatrist
