disease,symptom
flu,"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue"
bronchitis,"cough,mucus production,shortness of breath,chest pain"
pneumonia,"fever,cough,shortness of breath,chest pain,fatigue"
heart attack,"chest pain,shortness of breath,nausea,vomiting,lightheadedness,sweating"
stroke,"sudden weakness,numbness on one side of the body,confusion,difficulty speaking,trouble seeing in one eye,severe headache"
cancer,"lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge"
diabetes,"increased thirst,frequent urination,unexplained weight loss,fatigue,blurred vision,cuts that are slow to heal"
alzheimer's disease,"memory loss,confusion,difficulty thinking,changes in personality or behavior"
arthritis,"pain,stiffness,swelling,inflammation in the joints"
adenovirus,"fever,sore throat,cough,conjunctivitis,rash,pink eye"
aflatoxicosis,"vomiting,diarrhea,jaundice,liver damage,death"
alcoholism,"physical dependence on alcohol,tolerance to alcohol,withdrawal symptoms,impaired judgment,memory problems,liver damage,heart disease,cancer"
allergic rhinitis,"runny nose,sneezing,itchy eyes,itchy nose,throat,palate"
alzheimer's disease,"memory loss,confusion,difficulty thinking,changes in personality or behavior"
anemia,"fatigue,shortness of breath,pale skin,lightheadedness,dizziness"
anxiety disorder,"excessive worry,fear,anxiety that interfere with daily life"
appendicitis,"pain in the lower right abdomen,nausea,vomiting,fever"
arthritis,"pain,stiffness,swelling,inflammation in the joints"
asperger syndrome,"difficulty with social interaction,repetitive behaviors,restricted interests"
asthma,"wheezing,shortness of breath,coughing,chest tightness"
bacterial meningitis,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
bipolar disorder,"extreme mood swings,from manito depression"
bladder cancer,"blood in the urine,pain or burning when urinating,frequent urination,urgency to urinate,incontinence"
blood clot,"pain,swelling,redness,warmth,tenderness in the affected area,shortness of breath,chest pain,difficulty breathing,coughing up blood"
bronchitis,"cough,mucus production,shortness of breath,chest pain"
bursitis,"pain,swelling,inflammation in bursa,which is small sac of fluid that cushions joints"
cancer,"lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge"
cervical cancer,"abnormal pap test results,abnormal vaginal bleeding,pain during sex"
chickenpox,"rash,fever,headache,muscle aches,fatigue"
chronic obstructive pulmonary disease (copd),"chronic bronchitis,emphysema"
cholesterol,high levels of cholesterol in the blood
common cold,"runny nose,sneezing,sore throat,cough,congestion"
conjunctivitis,"red,itchy,watery eyes"
depression ,"sadness,hopelessness,loss of interest in activities,changes in appetite,sleep,energy levels"
diabetes,"increased thirst,frequent urination,unexplained weight loss,fatigue,blurred vision,cuts that are slow to heal"
diarrhea,"loose,watery stools"
eating disorder,disturbance in eating behavior that can lead to serious health problems
epilepsy,seizures
fever,elevated body temperature 
food poisoning,"nausea,vomiting,diarrhea,abdominal cramps"
gallstones,"pain in the upper right abdomen,nausea,vomiting,fever"
gonorrhea,"sexually transmitted infection that can cause burning during urination,discharge from the penis or vagina,pain in the lower abdomen"
heart disease,"chest pain,shortness of breath,fatigue,dizziness,fainting"
hepatitis,inflammation of the liver
herpes,"sexually transmitted infection that can cause blisters on the genitals,mouth,other parts of the body"
influenza,"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue"
irritable bowel syndrome (ibs),"abdominal pain,bloating,constipation,diarrhea"
kidney stones ,"pain in the lower back or side,nausea,vomiting,blood in the urine"
lung cancer,"cough that does not go away,shortness of breath,chest pain,unexplained weight loss,fatigue,blood in the sputum"
malaria,"fever,chills,sweating,headache,muscle aches,fatigue,vomiting,diarrhea"
measles,"fever,cough,runny nose,red eyes,sore throat,rash"
meningitis,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
mononucleosis,"fever,sore throat,fatigue,swollen lymph nodes,rash"
pneumonia,"fever,cough,shortness of breath,chest pain,fatigue"
rabies,"fever,headache,muscle aches,tingling at the bite site,difficulty swallowing,hydrophobia,aerophobia"
salmonella,"fever,diarrhea,abdominal cramps,nausea,vomiting"
shingles,painful rash that follows nerve path
tuberculosis (tb),"cough that does not go away,fever,night sweats,weight loss,fatigue,chest pain"
urinary tract infection (uti),"painful urination,burning,frequent urination,urgency to urinate,blood in the urine"
varicose veins,"swollen,twisted veins,usually in the legs"
warts ,"raised,rough growths on the skin"
yeast infection,"itching,burning,discharge from the vaginor penis"
acanthamoebkeratitis,"pain,redness,inflammation in the eye"
acute appendicitis,"pain in the lower right abdomen,nausea,vomiting,fever"
acute kidney injury (aki) ,decreased kidney function
alzheimer's disease,"memory loss,confusion,difficulty thinking,changes in personality or behavior"
anemia,"fatigue,shortness of breath,pale skin,lightheadedness,dizziness"
aortic aneurysm,"bulge in the wall of the aorta,the largest artery in the body"
bacterial meningitis ,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
bipolar disorder,"extreme mood swings,from manito depression"
cervical cancer ,"abnormal pap test results,abnormal vaginal bleeding,pain during sex"
colorectal cancer,"change in bowel habits,such as diarrhea,constipation,narrowing of the stool,blood in the stool,abdominal pain,unexplained weight loss"
dementia,"memory loss,confusion,difficulty thinking,changes in personality or behavior"
erectile dysfunction,"difficulty getting,keeping an erection "
fibromyalgi,"widespread pain,fatigue,tenderness"
